name,imgSrc,categories,dealType,digitalCoupon,isSelected
Post Fruity Pebbles Cereal,/images/post_fruity_pebbles_cereal.jpg,Grocery,BOGO,,false
Thomas' English Muffins,/images/thomas_english_muffins.jpg,Grocery,BOGO,,false
Arnold or Brownberry Bread,/images/arnold_or_brownberry_bread.jpg,Grocery,BOGO,,false
Old El Paso Taco Dinner Kit,/images/old_el_paso_taco_dinner_kit.jpg,Grocery,BOGO,,false
Maxwell House Ground Coffee,/images/maxwell_house_ground_coffee.jpg,Grocery,BOGO,,false
Bodyarmor Sports Drink,/images/bodyarmor_sports_drink.jpg,Grocery,BOGO,,false
General Mills Cheerios Cereal,/images/general_mills_cheerios_cereal.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Botticelli Premium Pasta Sauce,/images/botticelli_premium_pasta_sauce.jpg,Grocery,BOGO,,false
Duke's Mayonnaise,/images/dukes_mayonnaise.jpg,Grocery,BOGO,,false
Catalina Crunch Cereal,/images/catalina_crunch_cereal.jpg,Protein|Grocery,BOGO,,false
Nabisco Oreo Cookies,/images/nabisco_oreo_cookies.jpg,Grocery,BOGO,,false
Zephyrhills Spring Water,/images/zephyrhills_spring_water.jpg,Grocery,BOGO,,false
Lay's Potato Chips,/images/lays_potato_chips.jpg,Grocery,BOGO,,false
Unreal Chocolate,/images/unreal_chocolate.jpg,Grocery,BOGO,,false
Orville Redenbacher's Gourmet Popping Corn,/images/orville_redenbachers_gourmet_popping_corn.jpg,Protein|Grocery,BOGO,,false
Wonder Bread,/images/wonder_bread.jpg,Grocery,BOGO,,false
The Greek Gods Greek Yogurt Style,/images/the_greek_gods_greek_yogurt_style.jpg,Dairy,BOGO,,false
Digiorno Stuffed Crust Pizza,/images/digiorno_stuffed_crust_pizza.jpg,Protein|Frozen Food,BOGO,,false
Pillsbury Grands! Biscuits,/images/pillsbury_grands_biscuits.jpg,Dairy,BOGO,,false
President Whipped Creme,/images/president_whipped_creme.jpg,Dairy,BOGO,,false
Nestle Drumstick Sundae Cones,/images/nestle_drumstick_sundae_cones.jpg,Frozen Food,BOGO,,false
Mayfield Creamery Ice Cream,/images/mayfield_creamery_ice_cream.jpg,Frozen Food,BOGO,,false
Celentano Pasta,/images/celentano_pasta.jpg,Frozen Food,BOGO,,false
Arm & Hammer Laundry Detergent,/images/arm_hammer_laundry_detergent.jpg,Non-Foods,BOGO,,false
Clorox All Purpose Spray Cleaners,/images/clorox_all_purpose_spray_cleaners.jpg,Non-Foods,BOGO,,false
Tide or Gain Laundry Detergent,/images/tide_or_gain_laundry_detergent.jpg,Non-Foods,BOGO,,false
Jinx Grain-Free Homemades Dog Food,/images/jinx_grainfree_homemades_dog_food.jpg,Pet,BOGO,,false
Huggies Diapers,/images/huggies_diapers.jpg,Baby,BOGO,Save $1.50 with digital coupon,false
Handi-foil Pans,/images/handifoil_pans.jpg,Housewares,BOGO,,false
Command Hooks,/images/command_hooks.jpg,Non-Foods,BOGO,,false
Glade Candle,/images/glade_candle.jpg,Non-Foods,BOGO,,false
Purina Beneful Prepared Meals Dog Food,/images/purina_beneful_prepared_meals_dog_food.jpg,Pet,BOGO,,false
Fresh Attitude Salads,/images/fresh_attitude_salads.jpg,Produce,BOGO,,false
Post Great Grains Cereal,/images/post_great_grains_cereal.jpg,Protein|Grocery,BOGO,,false
Dave's Killer Bread Organic Burger Buns,/images/daves_killer_bread_organic_burger_buns.jpg,Protein|Grocery,BOGO,,false
Pilot G2 Premium Gel Roller Pens,/images/pilot_g2_premium_gel_roller_pens.jpg,Non-Foods,BOGO,,false
Bob Evans Side Dishes,/images/bob_evans_side_dishes.jpg,Meat,BOGO,,false
Tyson Restaurant Style Chicken,/images/tyson_restaurant_style_chicken.jpg,Protein|Frozen Food,BOGO,,false
Wish-Bone Dressing,/images/wishbone_dressing.jpg,Grocery,BOGO,,false
Utz Party Size! Potato Chips,/images/utz_party_size_potato_chips.jpg,Grocery,BOGO,,false
Sargento Balanced Breaks Snack,/images/sargento_balanced_breaks_snack.jpg,Dairy,BOGO,,false
Smithfield Marinated Pork Tenderloin,/images/smithfield_marinated_pork_tenderloin.jpg,Protein|Meat,BOGO,,false
Essentia Purified Drinking Water,/images/essentia_purified_drinking_water.jpg,Grocery,BOGO,,false
Publix Hummus,/images/publix_hummus.jpg,Deli,BOGO,,false
Sharpie Highlighters,/images/sharpie_highlighters.jpg,Non-Foods,BOGO,,false
Charmin Essentials Bathroom Tissue,/images/charmin_essentials_bathroom_tissue.jpg,Non-Foods,BOGO,,false
Sharpie Permanent Markers,/images/sharpie_permanent_markers.jpg,Non-Foods,BOGO,,false
Kraft Dressing,/images/kraft_dressing.jpg,Grocery,BOGO,,false
Cholula Hot Sauce,/images/cholula_hot_sauce.jpg,Grocery,BOGO,,false
Popsicle Ice Pops,/images/popsicle_ice_pops.jpg,Frozen Food,BOGO,,false
6-Pack 7UP Products,/images/6pack_7up_products.jpg,Grocery,BOGO,,false
Pompeian Imported Olive Oil,/images/pompeian_imported_olive_oil.jpg,Grocery,BOGO,,false
Folgers Ground Coffee,/images/folgers_ground_coffee.jpg,Grocery,BOGO,,false
Nestle Coffee Mate Coffee Creamer,/images/nestle_coffee_mate_coffee_creamer.jpg,Dairy,BOGO,,false
Publix Salsa,/images/publix_salsa.jpg,Deli,BOGO,,false
